frame,y_norm,action,green_area,edge_penalty,death,reward
29,0.7616666666666667,1,155.5,False,False,0.08
30,0.7266666666666667,1,159.5,False,False,0.08
31,0.675,0,156.0,False,False,0.065
32,0.67,0,159.5,False,False,0.08
33,0.6816666666666666,0,157.5,False,False,0.08
34,0.71,0,155.5,False,False,0.08
35,0.7466666666666667,1,159.5,False,False,0.065
36,0.7333333333333333,1,157.5,False,False,0.08
37,0.6966666666666667,1,159.0,False,False,0.08
38,0.64,0,156.0,False,False,0.065
39,0.6316666666666667,0,158.0,False,False,0.08
40,0.6416666666666667,0,164.0,False,False,0.08
41,0.6683333333333333,0,160.5,False,False,0.08
42,0.7,1,156.5,False,False,0.065
43,0.685,1,161.5,False,False,0.08
44,0.6466666666666666,1,158.0,False,False,0.08
45,0.5883333333333334,0,159.5,False,False,0.065
46,0.5783333333333334,0,155.5,False,False,0.08
47,0.5866666666666667,0,163.0,False,False,0.08
48,0.6116666666666667,0,163.5,False,False,0.08
49,0.655,0,160.5,False,False,0.08
50,0.7133333333333334,1,159.5,False,False,0.065
51,0.715,1,155.0,False,False,0.08
52,0.6883333333333334,1,159.5,False,False,0.08
53,0.6416666666666667,1,162.0,False,False,0.08
54,0.5716666666666667,0,176.0,False,False,0.065
55,0.555,0,158.0,False,False,0.08
56,0.5566666666666666,0,157.0,False,False,0.08
57,0.5766666666666667,0,152.0,False,False,0.08
58,0.6133333333333333,0,157.0,False,False,0.08
59,0.6633333333333333,1,154.5,False,False,0.065
60,0.6583333333333333,1,156.0,False,False,0.08
61,0.6266666666666667,1,162.0,False,False,0.08
62,0.5816666666666667,0,157.0,False,False,0.065
63,0.5766666666666667,0,154.5,False,False,0.08
64,0.59,0,158.5,False,False,0.08
65,0.62,0,161.5,False,False,0.08
66,0.66,1,159.5,False,False,0.065
67,0.65,1,154.5,False,False,0.08
68,0.6133333333333333,1,159.5,False,False,0.08
69,0.56,0,159.5,False,False,0.065
70,0.5516666666666666,0,155.5,False,False,0.08
71,0.5633333333333334,0,159.5,False,False,0.08
72,0.5916666666666667,0,153.0,False,False,0.08
73,0.625,1,157.5,False,False,0.065
74,0.6116666666666667,1,157.5,False,False,0.08
75,0.5733333333333334,1,158.0,False,False,0.08
76,0.5166666666666667,0,162.5,False,False,0.065
77,0.5083333333333333,0,157.5,False,False,0.08
78,0.5166666666666667,0,156.5,False,False,0.08
79,0.5433333333333333,0,162.0,False,False,0.08
80,0.5866666666666667,0,156.0,False,False,0.08
81,0.645,1,161.5,False,False,0.065
82,0.6466666666666666,1,156.5,False,False,0.08
83,0.6216666666666667,1,156.0,False,False,0.08
84,0.5833333333333334,0,155.0,False,False,0.065
85,0.5816666666666667,0,154.5,False,False,0.08
86,0.6,0,158.5,False,False,0.08
87,0.635,0,156.0,False,False,0.08
88,0.68,1,158.0,False,False,0.065
89,0.6716666666666666,1,160.5,False,False,0.08
90,0.6383333333333333,1,156.5,False,False,0.08
91,0.5916666666666667,0,160.0,False,False,0.065
92,0.585,0,162.0,False,False,0.08
93,0.5983333333333334,0,169.0,False,False,0.08
94,0.6266666666666667,0,159.5,False,False,0.08
95,0.665,1,163.5,False,False,0.065
96,0.6533333333333333,1,155.5,False,False,0.08
97,0.6166666666666667,1,158.0,False,False,0.08
98,0.5633333333333334,0,160.0,False,False,0.065
99,0.555,0,157.0,False,False,0.08
100,0.565,0,160.5,False,False,0.08
101,0.5933333333333334,0,155.0,False,False,0.08
102,0.6366666666666667,0,162.0,False,False,0.08
103,0.685,1,157.5,False,False,0.065
